世紀の楽団 Alexander's Ragtime Band (1938) ,
牧童と貴婦人 The Cowboy and the Lady (1938) ,
貿易風 Trade Winds (1938) ,
52nd Street (1937) ,
デッドエンド Dead End (1937) ,
ハリケーン The Hurricane (1937) ,
ゼンダ城の虜 The Prisoner of Zenda (1937) ,
奴隷船 Slave Ship (1937) ,
ステラ・ダラス Stella Dallas (1937) ,
軍使 Wee Willie Winkie (1937) ,
間奏楽 When You're in Love (1937) ,
木に攀る女 Woman Chases Man (1937) ,
暗黒街の弾痕 You Only Live Once (1937) ,
市街戦 Beloved Enemy (1936) ,
大自然の凱歌 Come and Get It (1936) ,
Dancing Pirate (1936) ,
孔雀夫人 Dodsworth (1936) ,
歌へ陽気に The Gay Desperado (1936) ,
モダン・タイムス Modern Times (1936) ,
ラモナ Ramona (1936) ,
当り屋勘太 Strike Me Pink (1936) ,
この三人 These Three (1936) ,
バーバリー・コースト Barbary Coast (1935) ,
野性の叫び The Call of the Wild (1935) ,
Cardinal Richelieu (1935) ,
戦ふ巨象 Clive of India (1935) ,
ダーク・エンジェル The Dark Angel (1935) ,
The Melody Lingers On (1935) ,
メトロポリタン Metropolitan (1935) ,
噫無情 レ・ミゼラブル Les Miserables (1935) ,
生活への道 Splendor (1935) ,
結婚の夜 The Wedding Night (1935) ,
The Affairs of Cellini (1934) ,
Born To Be Bad (1934) ,
霧に立つ影 Bulldog Drummond Strikes Back (1934) ,
ロイドの大勝利 The Cat's Paw (1934) ,
厳窟王 The Count of Monte Cristo (1934) ,
ロスチャイルド The House of Rothschild (1934) ,
百万弗小僧 Kid Millions (1934) ,
The Last Gentleman (1934) ,
電話新撰組 Looking for Trouble (1934) ,
曲芸団 The Mighty Barnum (1934) ,
ムーラン・ルージュ Moulin Rouge (1934) ,
女優ナナ Nana (1934) ,
One Night of Love (1934) ,
麦秋(むぎのあき) Our Daily Bread (1934) ,
薔薇色遊覧船 Transatlantic Merry-Go-Round (1934) ,
復活 We Live Again (1934) ,
Advice to the Lovelorn (1933) ,
濡れた拳銃（コルト） Blood Money (1933) ,
バワリイ The Bowery (1933) ,
キャバレエの鍵穴 Broadway Through a Keyhole (1933) ,
Gallant Lady (1933) ,
"風来坊 Hallelujah, I'm a Bum (1933) ",
I Cover the Waterfront (1933) ,
仮面の男 The Masquerader (1933) ,
羅馬太平記 Roman Scandals (1933) ,
秘密 Secrets (1933) ,
アルセーヌ・ルパン Arsene Lupin (1932) ,
Cock of the Air (1932) ,
シナラ Cynara (1932) ,
The Greeks Had a Word for Them (1932) ,
カンターの闘牛士 The Kid from Spain (1932) ,
ロビンソン・クルーソー Mr. Robinson Crusoe (1932) ,
Night World (1932) ,
雨 Rain (1932) ,
Sky Devils (1932) ,
The Age for Love (1931) ,
ダグラスの世界一周 Around the World in 80 Minutes With Douglas Fairbanks (1931) ,
人類の戦士 Arrowsmith (1931) ,
街の灯 City Lights (1931) ,
Corsair (1931) ,
Indiscreet (1931) ,
Kiki (1931) ,
街の風景 Street Scene (1931) ,
Tonight or Never (1931) ,
The Unholy Garden (1931) ,
放蕩息子 The Devil to Pay (1930) ,
月世界征服 Reaching for the Moon (1930) ,
新スター・トレック Star Trek: The Next Generation (1987) ,
ドリトル先生不思議な旅 Doctor Dolittle (1967) ,
スター・トレック/宇宙大作戦 Star Trek (1966) ,
マドリードで乾杯 The Pleasure Seekers (1964) ,
渚のデイト Follow the Boys (1963) ,
無法の拳銃 Day of the Outlaw (1959) ,
Handle with Care (1958) ,
左きゝの拳銃 The Left-Handed Gun (1958) ,
Hot Rod Rumble (1957) ,
陽はまた昇る The Sun Also Rises (1957) ,
