ビバリーヒルズ・コップ2 Beverly Hills Cop II (1987) ,Shakedown,Shakedown,Shakedown,Clarx,2020-10-09,165863,34,5,0,0.561,0.00611,0.922,0.636,0.165,-4.581,0.0368,104.976,4,0.291
好きと言えなくて The Truth About Cats & Dogs (1996) ,For Once In My Life,For Once In My Life,For Once In My Life,Stevie Wonder,1968-12-01,169800,72,6,1,0.524,0.195,0.519,0,0.523,-11.903,0.043,110.121,4,0.847
ティファニーで朝食を Breakfast at Tiffany's (1961) ,Moon River,Moon River,Moon River,Frank Ocean,2018-02-14,188323,67,0,1,0.24,0.877,0.116,0.00092,0.1,-13.216,0.0329,77.349,3,0.0937
ムーラン Mulan (1998) ,Reflection,Reflection,Songs and Story: Mulan,Various Artists,2013-01-01,114293,28,9,1,0.271,0.916,0.28,0.00109,0.117,-11.966,0.0307,91.773,4,0.16
パトリオット・ゲーム Patriot Games (1992) ,Theme from Harry's Game,Theme from Harry's Game,Magical Ring,Clannad,1983,148133,27,1,0,0.19,0.948,0.0715,0.00447,0.105,-24.049,0.0372,131.56,3,0.0379
リトルフットの大冒険/謎の恐竜大陸 The Land Before Time (1988) ,If We Hold On Together,If We Hold On Together,The Force Behind The Power,Diana Ross,1991-01-01,250266,40,0,1,0.358,0.565,0.21,8.49e-06,0.11,-15.283,0.0266,141.748,4,0.111
マイ・ガール My Girl (1991) ,My Girl,My Girl,The Temptations Sing Smokey,The Temptations,1965-03-22,165000,79,0,1,0.572,0.635,0.418,0,0.0961,-10.738,0.0349,104.566,4,0.694
死の標的 Marked for Death (1990) ,John Crow,John Crow,Marked For Death (Original Motion Picture Soundtrack),Various Artists,1990-01-01,227733,34,3,1,0.715,0.033,0.473,0,0.0719,-14.057,0.0633,134.546,4,0.71
プリティ・ウーマン Pretty Woman (1990) ,"Oh, Pretty Woman","Oh, Pretty Woman","Oh, Pretty Woman",Roy Orbison,1962,178933,74,9,1,0.619,0.712,0.603,0,0.0721,-9.481,0.0342,127.433,4,0.958
007/リビング・デイライツ The Living Daylights (1987) ,The Living Daylights,The Living Daylights,The Singles: 1984-2004,a-ha,2004-11-29,254346,55,2,0,0.694,0.121,0.78,0.00157,0.114,-7.872,0.0267,120.266,4,0.829
007/美しき獲物たち A View to a Kill (1985) ,A View To A Kill,A View To A Kill (Wine With Stacy/Fanfare/Snowjob),The James Bond Collection,The City of Prague Philharmonic Orchestra,2002,286441,24,3,0,0.199,0.675,0.183,0.915,0.137,-12.379,0.0405,88.266,3,0.0442
007/オクトパシー Octopussy (1983) ,All Time High,All Time High,California Sunrise,Jon Pardi,2016-05-13,232466,49,7,1,0.455,0.0602,0.773,0,0.407,-3.463,0.0342,134.117,4,0.353
007/ムーンレイカー Moonraker (1979) ,Moonraker,Moonraker,Bassey - The EMI/UA Years 1959-1979,Shirley Bassey,1994,189173,53,11,1,0.27,0.864,0.293,0.0162,0.15,-11.897,0.0284,96.172,4,0.189
007/黄金銃を持つ男 The Man with the Golden Gun (1974) ,The Man With The Golden Gun,The Man With The Golden Gun,Greatest Hits,Lulu,2003-01-01,154440,38,4,1,0.519,0.209,0.774,0,0.712,-7.505,0.0786,134.56,4,0.565
007/ダイヤモンドは永遠に Diamonds Are Forever (1971) ,Diamonds Are Forever,Diamonds Are Forever,Let Me Sing and I'm Happy,Shirley Bassey,1998,161933,56,4,0,0.48,0.74,0.447,0.00437,0.0858,-10.962,0.036,96.771,4,0.255
007/007は二度死ぬ You Only Live Twice (1967) ,You Only Live Twice,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,Drake,2021-09-03,213103,78,7,1,0.519,0.118,0.851,0,0.178,-6.001,0.29,123.823,5,0.711
007/サンダーボール作戦 Thunderball (1965) ,Thunderball,Thunderball (Main Title) - Remastered,Thunderball,John Barry,2003-01-01,183626,53,5,0,0.183,0.274,0.494,1.23e-05,0.38,-9.995,0.0333,95.963,4,0.503
007/ゴールドフィンガー Goldfinger (1964) ,Goldfinger,Goldfinger,The Music Of John Barry,John Barry,1976-02-22,263706,27,5,1,0.282,0.318,0.316,0.451,0.147,-14.29,0.0392,129.454,4,0.119
