ノッティングヒルの恋人 Notting Hill (1999) ,She(シー),Elvis Costello(エルヴィス・コステロ) … オリジナルは、Charles Aznavour(シャルル・アズナヴール)。日本やイギリスでの公開版のオープニング・タイトルバックでは、アズナヴールのオリジナル曲が使われているが、アメリカ版では、コステロ版が使われている。
Shall we ダンス? (1996) ,Shall we dance?(シャル・ウィ・ダンス？),大貫妙子
ルパン三世/燃えよ斬鉄剣 (1994) ,想い出があなたを離さない,平井菜水
ルパン三世/カリオストロの城 (1979) ,炎のたからもの,
人間の証明 (1977) ,人間の証明,ジョー山中、大野雄二(作曲・編曲)
男が女を愛する時 When a Man Loves a Woman (1994) ,When A Man Loves A Woman,Percy Sledge(パーシー・スレッジ)
いいひと。 (1997) ,セロリ,SMAP
恋のバカンス (1997) ,Everything(It's you),Mr.Children
白線流し (1996) ,空も飛べるはず,スピッツ
沙粧妙子-最後の事件- (1995) ,LADY LUCK,ロッド・スチュワート
男はつらいよ (1969) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
ステラ Stella (1990) ,One More Cheer,Bette Midler(ベット・ミドラー) … リリースされてなさそう？ 
ゴジラVSスペースゴジラ (1994) ,エコーズ・オブ・ラブ,DATE OF BIRTH
スワロウテイル Swallowtail Butterfly (1996) ,Swallowtail Butterfly～あいのうた,YEN TOWN BAND(イェン・タウン・バンド)
稲村ジェーン (1990) ,真夏の果実,サザンオールスターズ
耳をすませば (1995) ,"カントリー・ロード (Take Me Home, Country Roads)",本名陽子 … オリジナルは、John Denver(ジョン・デンバー)によるもので、アルバム「
不夜城 : SLEEPLESS TOWN (1998) ,The Wild Wind,"B'z … シングル「HOME」2nd Beat、アルバム「B'z The ""Mixture""」、サントラ「不夜城」に収録。"
がんばっていきまっしょい (1998) ,Ogiyodiora(オギヨディオラ),Lee-tzsche(リーチェ) … サントラや、アルバム「
君は僕をスキになる (1989) ,クリスマス・イブ,山下達郎
恋する女たち (1986) ,,
夜逃げ屋本舗 (1999) ,I HAVE NEVER SEEN,安室奈美恵
未来の想い出 Last Christmas (1992) ,ラスト・クリスマス,ワム！
免許がない！ (1994) ,夜を駆ける想い ～THE ONLY ONE～,舘ひろし
名探偵コナン 世紀末の魔術師 (1999) ,One,B'z … シングル「ギリギリChop」、アルバム「The Ballads ～ Love &amp; B'z」、「
ステイン・アライブ Staying Alive (1983) ,Far From Over(ファー・フロム・オーヴァー),Frank Stalone(フランク・スタローン)
今夜、宇宙の片隅で (1998) ,But Not For Me,フランク・シナトラ
男はつらいよ 寅次郎 紅の花 (1995) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 拝啓 車寅次郎様 (1994) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎の縁談 (1993) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎の青春 (1992) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎の告白 (1991) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎の休日 (1990) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ ぼくの伯父さん (1989) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎心の旅路 (1989) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎サラダ記念日 (1988) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎物語 (1987) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 知床慕情 (1987) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 幸福の青い鳥 (1986) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 柴又より愛をこめて (1985) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎恋愛塾 (1985) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎真実一路 (1984) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 夜霧にむせぶ寅次郎 (1984) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 口笛を吹く寅次郎 (1983) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 旅と女と寅次郎 (1983) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 花も嵐も寅次郎 (1982) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎あじさいの恋 (1982) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎紙風船 (1981) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎ハイビスカスの花 特別篇 (1997) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 浪花の恋の寅次郎 (1981) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎かもめ歌 (1980) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎ハイビスカスの花 (1980) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎春の夢 (1979) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 翔んでる寅次郎 (1979) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 噂の寅次郎 (1978) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎わが道をゆく (1978) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎頑張れ！ (1977) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎と殿様 (1977) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎純情詩集 (1976) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎夕焼け小焼け (1976) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 葛飾立志篇 (1975) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎相合い傘 (1975) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎子守唄 (1974) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎恋やつれ (1974) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 私の寅さん (1973) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎忘れな草 (1973) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎夢枕 (1972) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 柴又慕情 (1972) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 寅次郎恋歌 (1971) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 奮闘篇 (1971) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
